inep,status,tempo,nome_escola,uf_escola,dependencia_escola,estudantes_escola,estudantes_escola_maior_turno,vel_adequada,status_medidor,vel_download,vel_upload,latencia,jitter,perda_pacote,nro_medicoes,medicoes_escola,max_95_down,provedoresSIMET_regiao,provedor_do_estabelecimento
15522938,sucesso,9.23,Escola Escola Estadual Jardim Residencial Jaderlar,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 198 (Censo 2025),Número de estudantes no maior turno: 109 (Censo 2025),Velocidade adequada: 109Mbit/s,Medidor ativo,29,"76,5","46,5","0,6",1,402,NA,-,"Click Speed Servicos De Telecomunicacoes Ltda Ep, Logo Telecom",Logo Telecom
15521150,sucesso,7.53,Escola Escola Estadual Padre Pietro Gerosa,Município: Ananindeua - Para,Gestão: Estadual,Número de estudantes: 284 (Censo 2025),Número de estudantes no maior turno: 142 (Censo 2025),Velocidade adequada: 142Mbit/s,Medidor ativo,"65,1","34,5","48,6","1,4","0,3",55,NA,-,"Click Speed Servicos De Telecomunicacoes Ltda Ep, Logo Telecom",
15521141,sucesso,11.83,Escola Escola Estadual Centro Comunitario Vila Esperanca,Município: Ananindeua - Para,Gestão: Estadual,Número de estudantes: 127 (Censo 2025),Número de estudantes no maior turno: 97 (Censo 2025),Velocidade adequada: 97Mbit/s,Medidor ativo,"105,5","26,7","76,1","0,6",0,11,NA,-,"V Tal, SpaceX Starlink",SpaceX Starlink
15521125,sucesso,7.92,Escola Escola Estadual Alexandre Nicomedes Da Cunha,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 271 (Censo 2025),Número de estudantes no maior turno: 141 (Censo 2025),Velocidade adequada: 141Mbit/s,Medidor ativo,"54,6",36,62,"1,1","0,2",105,NA,-,"V Tal, SpaceX Starlink",
15521117,sucesso,6.91,Escola Escola Estadual Consuelo Coelho E Souza,Município: Ananindeua - Para,Gestão: Estadual,Número de estudantes: 741 (Censo 2025),Número de estudantes no maior turno: 437 (Censo 2025),Velocidade adequada: 437Mbit/s,Medidor Não instalado,,,,,,,NA,-,"V Tal, SpaceX Starlink",
15520560,sucesso,8.60,Escola Escola Estadual Pitagoras,Município: Ananindeua - Para,Gestão: Estadual,Número de estudantes: 469 (Censo 2025),Número de estudantes no maior turno: 222 (Censo 2025),Velocidade adequada: 222Mbit/s,Medidor ativo,"23,7","35,8","48,2","1,3","0,1",21,NA,-,"V Tal, SpaceX Starlink",
15519392,sucesso,7.49,Escola Escola Estadual Santa Barbara,Município: Santa Bárbara Do Pará - Para,Gestão: Estadual,Número de estudantes: 647 (Censo 2025),Número de estudantes no maior turno: 357 (Censo 2025),Velocidade adequada: 357Mbit/s,Medidor Não instalado,,,,,,,NA,-,"V Tal, SpaceX Starlink",
15518205,sucesso,8.09,Escola Centro De Atendimento Educacional Especializado Profa Marli Almeida Fontenelle De Castro,Município: Santo Antônio Do Tauá - Para,Gestão: Estadual,Número de estudantes: 0 (Censo 2025),Número de estudantes no maior turno: NA (Censo 2025),Velocidade adequada: NAMbit/s,Medidor ativo,"92,6","3,2","75,3","3,6","0,2",51,NA,-,"V Tal, SpaceX Starlink",
15517900,sucesso,8.17,Escola Escola Estadual Waldemar Henrique,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 905 (Censo 2025),Número de estudantes no maior turno: 539 (Censo 2025),Velocidade adequada: 539Mbit/s,Medidor ativo,"67,7","35,7","59,3","1,3","0,2",242,NA,-,"V Tal, SpaceX Starlink",
15517691,sucesso,7.68,Escola Escola Estadual Profa Claudine Gabriele Lima E Silva,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 292 (Censo 2025),Número de estudantes no maior turno: 149 (Censo 2025),Velocidade adequada: 149Mbit/s,Medidor ativo,"39,7","38,9","54,3","1,7","1,8",167,NA,-,"V Tal, SpaceX Starlink",
15517683,sucesso,7.51,Escola Escola Estadual Estrada Nova,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 394 (Censo 2025),Número de estudantes no maior turno: 165 (Censo 2025),Velocidade adequada: 165Mbit/s,Medidor ativo,"73,3",40,57,"1,5","0,6",224,NA,-,"Linkrm Ltda, SpaceX Starlink",
15517039,sucesso,30.74,Escola Escola Estadual Espirito Santo,Município: Ananindeua - Para,Gestão: Estadual,Número de estudantes: 199 (Censo 2025),Número de estudantes no maior turno: 103 (Censo 2025),Velocidade adequada: 103Mbit/s,Medidor ativo,"43,3","47,8","2,6","0,2","0,7",394,NA,-,"Linkfire Telecom Ltda, Sea Telecom Ltda, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",Prodepa Emp Tec Da Inf E Com Do Estado Do Pará
15516954,sucesso,7.29,Escola Escola Estadual Nair Rodrigues De Caldas Brito Zaluth,Município: Ananindeua - Para,Gestão: Estadual,Número de estudantes: 207 (Censo 2025),Número de estudantes no maior turno: 105 (Censo 2025),Velocidade adequada: 105Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Linkfire Telecom Ltda, Sea Telecom Ltda, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15516830,sucesso,8.39,Escola Escola Estadual Anani,Município: Ananindeua - Para,Gestão: Estadual,Número de estudantes: 234 (Censo 2025),Número de estudantes no maior turno: 131 (Censo 2025),Velocidade adequada: 131Mbit/s,Medidor ativo,"25,1",34,"50,2",1,"0,2",73,NA,-,"Linkfire Telecom Ltda, Sea Telecom Ltda, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15516539,sucesso,10.00,Escola Escola Estadual Monte Serrat,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 182 (Censo 2025),Número de estudantes no maior turno: 105 (Censo 2025),Velocidade adequada: 105Mbit/s,Medidor ativo,"233,1","295,9","36,2","0,2","0,1",770,NA,-,Click Speed Servicos De Telecomunicacoes Ltda Ep,Click Speed Servicos De Telecomunicacoes Ltda Ep
