inep,status,tempo,nome_escola,uf_escola,dependencia_escola,estudantes_escola,estudantes_escola_maior_turno,vel_adequada,status_medidor,vel_download,vel_upload,latencia,jitter,perda_pacote,nro_medicoes,medicoes_escola,max_95_down,provedoresSIMET_regiao,provedor_do_estabelecimento
15179524,sucesso,8.60,Escola Escola Estadual De Ensino Profissional E Tecnologico Profª Maria Siqueira Dos Santos Dias-Eetepa-,Município: Barcarena - Para,Gestão: Estadual,Número de estudantes: 1082 (Censo 2025),Número de estudantes no maior turno: 401 (Censo 2025),Velocidade adequada: 401Mbit/s,Medidor ativo,"568,8","296,3","13,5",0,"0,2",312,NA,-,"Pronto Net Ltda, Voce Telecomunicacoes Ltda",Voce Telecomunicacoes Ltda
15179249,sucesso,11.95,Escola Escola Estadual Indigena Kwyntynkre Kyikateje,Município: Bom Jesus Do Tocantins - Para,Gestão: Estadual,Número de estudantes: 54 (Censo 2025),Número de estudantes no maior turno: 27 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor ativo,"95,6",100,"23,3","0,2","0,2",561,NA,-,"Pronto Net Ltda, Voce Telecomunicacoes Ltda",
15179214,sucesso,24.76,Escola Escola Estadual Prof Serafim Fernandes Da Silva,Município: Parauapebas - Para,Gestão: Estadual,Número de estudantes: 280 (Censo 2025),Número de estudantes no maior turno: 280 (Censo 2025),Velocidade adequada: 280Mbit/s,Medidor ativo,"384,3",196,"9,6",0,"0,1",733,NA,-,"Rede Nacional De Ensino E Pesquisa, Norte Telecom Provedor De Internet Eireli",Norte Telecom Provedor De Internet Eireli
15178889,sucesso,23.92,Escola Escola Estadual Rural De Porto De Moz,Município: Porto De Moz - Para,Gestão: Estadual,Número de estudantes: 860 (Censo 2025),Número de estudantes no maior turno: 511 (Censo 2025),Velocidade adequada: 511Mbit/s,Medidor ativo,"117,8","32,7","71,2","1,9","0,5",328,NA,-,"B Dos S Vieira Neto Ltda, SpaceX Starlink, Zum Telecom Ltda Me, Xingu Telecom Ltda","SpaceX Starlink, Zum Telecom Ltda Me, Xingu Telecom Ltda, B Dos S Vieira Neto Ltda"
15178536,sucesso,6.70,Escola Escola Estadual Rural De Salvaterra,Município: Salvaterra - Para,Gestão: Estadual,Número de estudantes: 242 (Censo 2025),Número de estudantes no maior turno: 242 (Censo 2025),Velocidade adequada: 242Mbit/s,Medidor Não instalado,,,,,,,NA,-,"B Dos S Vieira Neto Ltda, SpaceX Starlink, Zum Telecom Ltda Me, Xingu Telecom Ltda",
15178374,sucesso,8.54,Escola Escola Estadual Rural De Picarra,Município: Piçarra - Para,Gestão: Estadual,Número de estudantes: 118 (Censo 2025),Número de estudantes no maior turno: 45 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor ativo,"279,2","213,9","14,7","0,1","0,7",754,NA,-,"B Dos S Vieira Neto Ltda, SpaceX Starlink, Zum Telecom Ltda Me, Xingu Telecom Ltda",
15178340,sucesso,6.87,Escola Escola Estadual Rural De Bagre,Município: Bagre - Para,Gestão: Estadual,Número de estudantes: 295 (Censo 2025),Número de estudantes no maior turno: 200 (Censo 2025),Velocidade adequada: 200Mbit/s,Medidor Não instalado,,,,,,,NA,-,"B Dos S Vieira Neto Ltda, SpaceX Starlink, Zum Telecom Ltda Me, Xingu Telecom Ltda",
15178331,sucesso,9.81,Escola Escola Estadual Profa Joaquina Diamantina Ferreira Lemos,Município: Curionópolis - Para,Gestão: Estadual,Número de estudantes: 165 (Censo 2025),Número de estudantes no maior turno: 108 (Censo 2025),Velocidade adequada: 108Mbit/s,Medidor ativo,"117,9",461,"17,3","0,1","0,7",1361,NA,-,"B Dos S Vieira Neto Ltda, SpaceX Starlink, Zum Telecom Ltda Me, Xingu Telecom Ltda",
15178323,sucesso,8.62,Escola Escola Estadual Rural De Palestina Do Para,Município: Palestina Do Pará - Para,Gestão: Estadual,Número de estudantes: 44 (Censo 2025),Número de estudantes no maior turno: 44 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor ativo,"346,2","102,3","24,3","0,2",2,568,NA,-,"B Dos S Vieira Neto Ltda, SpaceX Starlink, Zum Telecom Ltda Me, Xingu Telecom Ltda",
15178315,sucesso,10.75,Escola Escola Estadual Rural De Nova Esperanca Do Piria,Município: Nova Esperança Do Piriá - Para,Gestão: Estadual,Número de estudantes: 216 (Censo 2025),Número de estudantes no maior turno: 156 (Censo 2025),Velocidade adequada: 156Mbit/s,Medidor Não instalado,,,,,,,NA,-,"B Dos S Vieira Neto Ltda, SpaceX Starlink, Zum Telecom Ltda Me, Xingu Telecom Ltda",
15178307,sucesso,19.00,Escola Escola Estadual Rural De Marapanim,Município: Marapanim - Para,Gestão: Estadual,Número de estudantes: 268 (Censo 2025),Número de estudantes no maior turno: 193 (Censo 2025),Velocidade adequada: 193Mbit/s,Medidor ativo,"54,7","131,4","24,7","2,2","0,3",7,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom","SpaceX Starlink, Sea Telecom Ltda, Voob Telecom"
15178293,sucesso,11.28,Escola Escola Estadual Rural De Melgaco,Município: Melgaço - Para,Gestão: Estadual,Número de estudantes: 990 (Censo 2025),Número de estudantes no maior turno: 431 (Censo 2025),Velocidade adequada: 431Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178285,sucesso,13.52,Escola Escola Estadual Rural De Portel,Município: Portel - Para,Gestão: Estadual,Número de estudantes: 559 (Censo 2025),Número de estudantes no maior turno: 301 (Censo 2025),Velocidade adequada: 301Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178277,sucesso,14.14,Escola Escola Estadual Rural De Gurupa,Município: Gurupá - Para,Gestão: Estadual,Número de estudantes: 784 (Censo 2025),Número de estudantes no maior turno: 344 (Censo 2025),Velocidade adequada: 344Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178269,sucesso,14.69,Escola Escola Estadual Rural De Floresta Do Araguaia,Município: Floresta Do Araguaia - Para,Gestão: Estadual,Número de estudantes: 115 (Censo 2025),Número de estudantes no maior turno: 115 (Censo 2025),Velocidade adequada: 115Mbit/s,Medidor ativo,"291,9","235,1","38,8","0,1","1,6",956,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178250,sucesso,9.13,Escola Escola Estadual Rural De Garrafao Do Norte,Município: Garrafão Do Norte - Para,Gestão: Estadual,Número de estudantes: 167 (Censo 2025),Número de estudantes no maior turno: 153 (Censo 2025),Velocidade adequada: 153Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178242,sucesso,7.07,Escola Escola Estadual Rural De Curralinho,Município: Curralinho - Para,Gestão: Estadual,Número de estudantes: 1061 (Censo 2025),Número de estudantes no maior turno: 485 (Censo 2025),Velocidade adequada: 485Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178234,sucesso,7.45,Escola Escola Estadual Rural De Chaves,Município: Chaves - Para,Gestão: Estadual,Número de estudantes: 603 (Censo 2025),Número de estudantes no maior turno: 422 (Censo 2025),Velocidade adequada: 422Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178226,sucesso,8.47,Escola Escola Estadual Rural De Breves,Município: Breves - Para,Gestão: Estadual,Número de estudantes: 1678 (Censo 2025),Número de estudantes no maior turno: 1086 (Censo 2025),Velocidade adequada: 1000Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178218,sucesso,9.72,Escola Escola Estadual Rural De Anajas,Município: Anajás - Para,Gestão: Estadual,Número de estudantes: 828 (Censo 2025),Número de estudantes no maior turno: 335 (Censo 2025),Velocidade adequada: 335Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178200,sucesso,9.06,Escola Escola Estadual Rural De Afua,Município: Afuá - Para,Gestão: Estadual,Número de estudantes: 680 (Censo 2025),Número de estudantes no maior turno: 653 (Censo 2025),Velocidade adequada: 653Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178145,sucesso,8.48,Escola Escola Estadual Rural De Vitoria Do Xingu,Município: Vitória Do Xingu - Para,Gestão: Estadual,Número de estudantes: 238 (Censo 2025),Número de estudantes no maior turno: 143 (Censo 2025),Velocidade adequada: 143Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178137,sucesso,16.70,Escola Escola Estadual Rural De Senador Jose Porfirio,Município: Senador José Porfírio - Para,Gestão: Estadual,Número de estudantes: 297 (Censo 2025),Número de estudantes no maior turno: 297 (Censo 2025),Velocidade adequada: 297Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178129,sucesso,21.60,Escola Escola Estadual Rural De Santana Do Araguaia,Município: Santana Do Araguaia - Para,Gestão: Estadual,Número de estudantes: 192 (Censo 2025),Número de estudantes no maior turno: 136 (Censo 2025),Velocidade adequada: 136Mbit/s,Medidor ativo,"418,7",93,"58,8","0,1",,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178110,sucesso,15.95,Escola Escola Estadual Rural De Santana Do Araguaia,Município: Santana Do Araguaia - Para,Gestão: Estadual,Número de estudantes: 192 (Censo 2025),Número de estudantes no maior turno: 136 (Censo 2025),Velocidade adequada: 136Mbit/s,Medidor ativo,"418,7",93,"58,8","0,1",3,1035,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178102,sucesso,25.89,Escola Escola Estadual Rural De Tucuma,Município: Tucumã - Para,Gestão: Estadual,Número de estudantes: 36 (Censo 2025),Número de estudantes no maior turno: 36 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178099,sucesso,18.38,Escola Escola Estadual Rural De Sao Felix Do Xingu,Município: São Félix Do Xingu - Para,Gestão: Estadual,Número de estudantes: 592 (Censo 2025),Número de estudantes no maior turno: 460 (Censo 2025),Velocidade adequada: 460Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178080,sucesso,23.16,Escola Escola Estadual Rural De Santa Maria Das Barreiras,Município: Santa Maria Das Barreiras - Para,Gestão: Estadual,Número de estudantes: 151 (Censo 2025),Número de estudantes no maior turno: 87 (Censo 2025),Velocidade adequada: 87Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178072,sucesso,24.81,Escola Escola Estadual Rural De Rio Maria,Município: Rio Maria - Para,Gestão: Estadual,Número de estudantes: 39 (Censo 2025),Número de estudantes no maior turno: 20 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178064,sucesso,35.61,Escola Escola Estadual Rural De Redencao,Município: Redenção - Para,Gestão: Estadual,Número de estudantes: 74 (Censo 2025),Número de estudantes no maior turno: 74 (Censo 2025),Velocidade adequada: 74Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178056,sucesso,17.46,Escola Escola Estadual Rural De Capitao Poco,Município: Capitão Poço - Para,Gestão: Estadual,Número de estudantes: 400 (Censo 2025),Número de estudantes no maior turno: 375 (Censo 2025),Velocidade adequada: 375Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15178048,timeout,60.59,,,,,,,,,,,,,,,,,
15178030,timeout,60.22,,,,,,,,,,,,,,,,,
15178021,timeout,60.15,,,,,,,,,,,,,,,,,
15178013,sucesso,33.39,Escola Escola Estadual Rural De Ourilandia Do Norte,Município: Ourilândia Do Norte - Para,Gestão: Estadual,Número de estudantes: 73 (Censo 2025),Número de estudantes no maior turno: 67 (Censo 2025),Velocidade adequada: 67Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15177998,sucesso,32.87,Escola Escola Estadual Rural De Uruara,Município: Uruará - Para,Gestão: Estadual,Número de estudantes: 364 (Censo 2025),Número de estudantes no maior turno: 222 (Censo 2025),Velocidade adequada: 222Mbit/s,Medidor Não instalado,,,,,,,NA,-,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink, Sea Telecom Ltda, Voob Telecom",
15177980,sucesso,12.55,Escola Escola Estadual Rural De Paragominas,Município: Paragominas - Para,Gestão: Estadual,Número de estudantes: 382 (Censo 2025),Número de estudantes no maior turno: 332 (Censo 2025),Velocidade adequada: 332Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Garra Fibra, Jc Servicos De Internet Ltda, Site Soluc Em Inf Telec E Eng Ltda Brsite",Site Soluc Em Inf Telec E Eng Ltda Brsite
15177971,sucesso,24.17,Escola Escola Estadual Rural De Medicilandia,Município: Medicilândia - Para,Gestão: Estadual,Número de estudantes: 366 (Censo 2025),Número de estudantes no maior turno: 172 (Censo 2025),Velocidade adequada: 172Mbit/s,Medidor ativo,"85,9","39,1","63,1","1,1",,,NA,-,"Wbr Telecom, SpaceX Starlink",SpaceX Starlink
15177963,sucesso,12.48,Escola Escola Estadual Rural De Dom Eliseu,Município: Dom Eliseu - Para,Gestão: Estadual,Número de estudantes: 75 (Censo 2025),Número de estudantes no maior turno: 62 (Censo 2025),Velocidade adequada: 62Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Wbr Telecom, SpaceX Starlink",
15177955,sucesso,55.91,Escola Escola Estadual Rural De Aurora Do Para,Município: Aurora Do Pará - Para,Gestão: Estadual,Número de estudantes: 137 (Censo 2025),Número de estudantes no maior turno: 137 (Censo 2025),Velocidade adequada: 137Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Wbr Telecom, SpaceX Starlink",
15177947,sucesso,38.95,Escola Escola Estadual Rural De Bannach,Município: Bannach - Para,Gestão: Estadual,Número de estudantes: 28 (Censo 2025),Número de estudantes no maior turno: 28 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor ativo,"48,1","27,5","63,8","0,1","3,6",891,NA,-,"Wbr Telecom, SpaceX Starlink",
15177912,timeout,60.47,,,,,,,,,,,,,,,,,
15177904,timeout,60.33,,,,,,,,,,,,,,,,,
15177890,timeout,60.30,,,,,,,,,,,,,,,,,
15177882,timeout,60.21,,,,,,,,,,,,,,,,,
15177874,timeout,60.22,,,,,,,,,,,,,,,,,
15177866,timeout,60.48,,,,,,,,,,,,,,,,,
15177858,timeout,60.25,,,,,,,,,,,,,,,,,
15177840,timeout,60.40,,,,,,,,,,,,,,,,,
15177831,timeout,60.54,,,,,,,,,,,,,,,,,
15177939,sucesso,47.87,Escola Escola Estadual Rural De Viseu,Município: Viseu - Para,Gestão: Estadual,Número de estudantes: 806 (Censo 2025),Número de estudantes no maior turno: 363 (Censo 2025),Velocidade adequada: 363Mbit/s,,,,,,,,,,,
15177920,sucesso,37.67,Escola Escola Estadual Rural De Cachoeira Do Piria,Município: Cachoeira Do Piriá - Para,Gestão: Estadual,Número de estudantes: 426 (Censo 2025),Número de estudantes no maior turno: 183 (Censo 2025),Velocidade adequada: 183Mbit/s,,,,,,,,,,,
15177823,sucesso,49.01,Escola Escola Estadual Rural De Nova Ipixuna,Município: Nova Ipixuna - Para,Gestão: Estadual,Número de estudantes: 85 (Censo 2025),Número de estudantes no maior turno: 85 (Censo 2025),Velocidade adequada: 85Mbit/s,Medidor ativo,"197,8",106,"11,1","0,1","0,5",861,,,,
15177815,sucesso,37.35,Escola Escola Estadual Rural De Prainha,Município: Prainha - Para,Gestão: Estadual,Número de estudantes: 548 (Censo 2025),Número de estudantes no maior turno: 266 (Censo 2025),Velocidade adequada: 266Mbit/s,Medidor ativo,"61,8","38,7","54,8","1,1","1,3",28,43,130,"Wsp Serviços De Telecomunicações Ltda, SpaceX Starlink, Multi Telecom E Comercio De Informatica Eireli Me","SpaceX Starlink, Multi Telecom E Comercio De Informatica Eireli Me"
15177807,sucesso,15.09,Escola Escola Estadual Rural De Monte Alegre,Município: Monte Alegre - Para,Gestão: Estadual,Número de estudantes: 525 (Censo 2025),Número de estudantes no maior turno: 266 (Censo 2025),Velocidade adequada: 266Mbit/s,Medidor ativo,"281,3","137,6","71,4",0,"7,2",301,298,294,Ew De Aguiar Lima E Comercio Epp,Ew De Aguiar Lima E Comercio Epp
15177793,timeout,60.32,,,,,,,,,,,,,,,,,
15177785,sucesso,41.42,Escola Escola Estadual Rural De Almeirim,Município: Almeirim - Para,Gestão: Estadual,Número de estudantes: 403 (Censo 2025),Número de estudantes no maior turno: 225 (Censo 2025),Velocidade adequada: 225Mbit/s,Medidor ativo,"56,2","36,2",63,"1,8","0,3",177,176,102,"Plus Internet Telecom, C R De S Mendes Comercio E Servicos Ltda, SpaceX Starlink",SpaceX Starlink
15177777,sucesso,43.89,Escola Escola Estadual Rural De Alenquer,Município: Alenquer - Para,Gestão: Estadual,Número de estudantes: 791 (Censo 2025),Número de estudantes no maior turno: 353 (Censo 2025),Velocidade adequada: 353Mbit/s,Medidor ativo,280,"112,3",72,0,"7,4",309,887,294,"Mov Telecom Ltda, Ew De Aguiar Lima E Comercio Epp",Ew De Aguiar Lima E Comercio Epp
15177769,sucesso,21.49,Escola Escola Estadual Rural De Maraba,Município: Marabá - Para,Gestão: Estadual,Número de estudantes: 734 (Censo 2025),Número de estudantes no maior turno: 603 (Censo 2025),Velocidade adequada: 603Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Mov Telecom Ltda, Ew De Aguiar Lima E Comercio Epp",
15177750,sucesso,22.14,Escola Escola Estadual Rural De Jacunda,Município: Jacundá - Para,Gestão: Estadual,Número de estudantes: 90 (Censo 2025),Número de estudantes no maior turno: 90 (Censo 2025),Velocidade adequada: 90Mbit/s,Medidor Não instalado,,,,,,,NA,,"Mov Telecom Ltda, Ew De Aguiar Lima E Comercio Epp",
15177742,sucesso,20.18,Escola Escola Estadual Rural De Trairao,Município: Trairão - Para,Gestão: Estadual,Número de estudantes: 56 (Censo 2025),Número de estudantes no maior turno: 56 (Censo 2025),Velocidade adequada: 56Mbit/s,Medidor Não instalado,,,,,,,NA,,"Mov Telecom Ltda, Ew De Aguiar Lima E Comercio Epp",
15177734,timeout,60.52,,,,,,,,,,,,,,,,,
15177726,timeout,60.21,,,,,,,,,,,,,,,,,
15177718,timeout,60.68,,,,,,,,,,,,,,,,,
15177700,timeout,60.43,,,,,,,,,,,,,,,,,
15177696,timeout,60.60,,,,,,,,,,,,,,,,,
15177688,timeout,60.67,,,,,,,,,,,,,,,,,
15177670,timeout,60.59,,,,,,,,,,,,,,,,,
15177661,timeout,60.50,,,,,,,,,,,,,,,,,
15177653,timeout,60.37,,,,,,,,,,,,,,,,,
15177645,timeout,60.60,,,,,,,,,,,,,,,,,
15177637,sucesso,6.23,Escola Escola Estadual Rural De Muana,Município: Muaná - Para,Gestão: Estadual,Número de estudantes: 937 (Censo 2025),Número de estudantes no maior turno: 519 (Censo 2025),Velocidade adequada: 519Mbit/s,,,,,,,,,,,
15177629,timeout,60.57,,,,,,,,,,,,,,,,,
15177610,sucesso,33.74,Escola Escola Estadual Rural De Placas,Município: Placas - Para,Gestão: Estadual,Número de estudantes: 281 (Censo 2025),Número de estudantes no maior turno: 245 (Censo 2025),Velocidade adequada: 245Mbit/s,,,,,,,,,,,
15177602,sucesso,51.22,Escola Escola Estadual Rural De Baiao,Município: Baião - Para,Gestão: Estadual,Número de estudantes: 704 (Censo 2025),Número de estudantes no maior turno: 448 (Censo 2025),Velocidade adequada: 448Mbit/s,,,,,,,,,,,
15177599,sucesso,36.36,Escola Escola Estadual Rural De Novo Progresso,Município: Novo Progresso - Para,Gestão: Estadual,Número de estudantes: 154 (Censo 2025),Número de estudantes no maior turno: 121 (Censo 2025),Velocidade adequada: 121Mbit/s,,,,,,,,,,,
15177580,sucesso,24.66,Escola Escola Estadual Rural De Tucurui,Município: Tucuruí - Para,Gestão: Estadual,Número de estudantes: 465 (Censo 2025),Número de estudantes no maior turno: 223 (Censo 2025),Velocidade adequada: 223Mbit/s,,,,,,,,,,,
15177572,sucesso,28.29,Escola Escola Estadual Rural De Cachoeira Do Arari,Município: Cachoeira Do Arari - Para,Gestão: Estadual,Número de estudantes: 59 (Censo 2025),Número de estudantes no maior turno: 32 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor ativo,269,"189,7","24,2","0,8","2,5",999,,,,
15177564,sucesso,34.40,Escola Escola Estadual Rural De Pacaja,Município: Pacajá - Para,Gestão: Estadual,Número de estudantes: 332 (Censo 2025),Número de estudantes no maior turno: 147 (Censo 2025),Velocidade adequada: 147Mbit/s,Medidor Não instalado,,,,,,,,,,
15177556,timeout,60.55,,,,,,,,,,,,,,,,,
15177548,sucesso,16.67,Escola Escola Estadual Rural De Mojui Dos Campos,Município: Mojuí Dos Campos - Para,Gestão: Estadual,Número de estudantes: 309 (Censo 2025),Número de estudantes no maior turno: 298 (Censo 2025),Velocidade adequada: 298Mbit/s,Medidor Não instalado,,,,,,,,,,
15177530,timeout,60.18,,,,,,,,,,,,,,,,,
15177521,sucesso,10.88,Escola Escola Estadual Rural De Santo Antonio Do Taua,Município: Santo Antônio Do Tauá - Para,Gestão: Estadual,Número de estudantes: 296 (Censo 2025),Número de estudantes no maior turno: 168 (Censo 2025),Velocidade adequada: 168Mbit/s,Medidor Não instalado,,,,,,,,,,
15177513,sucesso,45.97,Escola Escola Estadual Rural De Oeiras Do Para,Município: Oeiras Do Pará - Para,Gestão: Estadual,Número de estudantes: 744 (Censo 2025),Número de estudantes no maior turno: 363 (Censo 2025),Velocidade adequada: 363Mbit/s,Medidor Não instalado,,,,,,,,,"Sea Telecom Ltda, Riotelereal Internet Optica Telecomunicacoes",Riotelereal Internet Optica Telecomunicacoes
15177505,sucesso,31.77,Escola Escola Estadual Rural De Novo Repartimento,Município: Novo Repartimento - Para,Gestão: Estadual,Número de estudantes: 864 (Censo 2025),Número de estudantes no maior turno: 627 (Censo 2025),Velocidade adequada: 627Mbit/s,Medidor Não instalado,,,,,,,,,"Sea Telecom Ltda, Riotelereal Internet Optica Telecomunicacoes",
15177491,timeout,60.55,,,,,,,,,,,,,,,,,
15177483,timeout,60.63,,,,,,,,,,,,,,,,,
